row_label,property,mechanism,BF4_minus_NTf2_gate
Average,Average,packing,-0.0016762316226959
Average,Average,cohesion,-0.3625145778059959
Average,Average,transport,0.1956157833337783
Average,Average,thermal,0.1685749962925911
Density,Density,packing,-0.110299527645111
Density,Density,cohesion,0.0
Density,Density,transport,0.1102995350956916
Density,Density,thermal,0.0
Electrical cond.,ElectricalConductivity,packing,0.0
Electrical cond.,ElectricalConductivity,cohesion,-0.7906709350645542
Electrical cond.,ElectricalConductivity,transport,0.7906709015369415
Electrical cond.,ElectricalConductivity,thermal,0.0
Heat capacity,HeatCapacity,packing,0.228018507361412
Heat capacity,HeatCapacity,cohesion,0.0
Heat capacity,HeatCapacity,transport,-0.3595398366451263
Heat capacity,HeatCapacity,thermal,0.1315213441848755
Surface tension,SurfaceTension,packing,-0.0368029475212097
Surface tension,SurfaceTension,cohesion,0.0368030220270156
Surface tension,SurfaceTension,transport,0.0
Surface tension,SurfaceTension,thermal,0.0
Thermal cond.,ThermalConductivity,packing,-0.0909733846783638
Thermal cond.,ThermalConductivity,cohesion,-0.7889552414417267
Thermal cond.,ThermalConductivity,transport,0.0
Thermal cond.,ThermalConductivity,thermal,0.8799286484718323
Viscosity,Viscosity,packing,0.0
Viscosity,Viscosity,cohesion,-0.6322642359882593
Viscosity,Viscosity,transport,0.6322641670703888
Viscosity,Viscosity,thermal,0.0
